year,inflation,exchange_rate,gdp_growth,unemployment,broad_money,exports,imports,oil_rents,remittances
1986.0,3.5,16.65,5.5,3.3,224.84,3.92,6.42,0.5,2.45
1987.0,4.7,17.4,6.5,3.1,259.4,4.91,6.37,0.6,2.18
1988.0,8.8,18.0,7.6,3.1,279.38,5.33,7.47,0.4,1.87
1989.0,7.8,20.54,5.0,3.1,300.05,5.65,8.17,0.7,2.02
1990.0,9.1,21.71,4.5,3.1,334.99,5.92,8.1,1.2,2.01
1991.0,11.8,23.8,5.1,5.9,398.45,7.73,8.43,0.6,1.55
1992.0,9.5,25.08,7.7,5.9,512.2,8.44,9.98,0.6,1.57
1993.0,10.0,28.11,1.8,4.7,608.63,8.39,11.55,0.4,1.45
1994.0,12.4,30.57,3.7,4.8,714.35,8.45,9.88,0.4,1.75
1995.0,12.3,31.64,5.0,5.4,813.0,10.13,11.78,0.4,1.71
1996.0,10.4,36.08,4.8,5.4,976.15,10.7,13.57,0.5,1.28
1997.0,11.9,41.11,1.0,6.1,1170.0,10.04,12.97,0.5,1.71
1998.0,6.2,45.05,2.6,5.9,1260.0,10.25,10.9,0.2,1.17
1999.0,4.1,49.5,3.7,5.9,1320.0,9.67,10.68,0.4,0.996
2000.0,4.4,53.65,4.3,7.8,1480.0,9.58,11.77,0.6,1.07
2001.0,3.1,61.93,3.7,7.8,1690.0,10.32,12.58,0.5,1.46
2002.0,3.3,59.72,2.6,8.3,1990.0,11.03,11.62,0.6,3.55
2003.0,2.9,57.75,5.4,8.3,2340.0,13.67,14.03,0.5,3.96
2004.0,7.4,58.26,7.8,7.7,2780.0,15.1,17.7,0.7,3.94
2005.0,9.1,59.51,7.3,7.7,3240.0,17.79,25.6,0.9,4.28
2006.0,7.9,60.27,6.1,6.2,4630.0,20.31,33.18,0.9,5.12
2007.0,7.6,60.74,4.4,5.2,5440.0,21.41,35.29,0.9,6.0
2008.0,20.3,70.41,2.1,5.2,5790.0,24.01,45.44,1.1,7.04
2009.0,13.6,81.71,3.5,5.5,6810.0,23.21,39.22,0.5,8.72
2010.0,12.9,85.19,1.5,5.6,7810.0,24.86,38.07,0.7,9.69
2011.0,11.9,86.34,2.7,6.0,8790.0,31.09,43.53,1.0,12.26
2012.0,9.7,93.4,3.0,6.0,10320.0,29.7,48.63,1.1,14.01
2013.0,7.7,101.63,4.4,6.0,11690.0,31.5,48.4,1.1,14.63
2014.0,7.2,101.1,4.1,6.0,13040.0,30.38,49.6,0.9,17.24
2015.0,2.5,102.77,4.2,5.9,14630.0,29.92,50.13,0.3,19.31
2016.0,3.8,104.77,6.6,5.9,16630.0,27.4,50.07,0.2,19.82
2017.0,4.1,105.46,4.4,5.8,18280.0,27.89,58.51,0.3,19.86
2018.0,5.1,121.82,6.2,5.8,20070.0,30.56,67.82,0.4,21.19
2019.0,10.6,150.04,2.5,6.9,22420.0,30.14,62.62,0.4,22.25
2020.0,9.7,161.84,-1.3,6.6,25920.0,27.94,52.33,0.2,26.09
2021.0,9.5,162.91,6.5,6.3,28620.0,31.55,62.66,0.4,31.31
